// game list translation template for FB Alpha version 0x029737

// codepage=936


8ballact	抢8撞球(大金刚转换版)
aurail1	光环坦克(第2套,世界版,FD1089B317-0168)
aurail	光环坦克(第3套,美版,未保护版)
md_austrarl	澳大利亚橄榄球联赛(欧版)
pce_avpoker	AV扑克
md_avatar	阿凡达(俄罗斯版)
avengers	复仇者(美版第1套)
avengers2	复仇者(美版第2套)
avspirit	复仇精灵
md_awepossm	威鼠闯天关(美版)
md_awepossmp	威鼠闯天关(美版,工程版)
md_aworg	浮游战士(日版,世嘉网络)
md_awspro	动感足球大赛(美版)
gg_axbattlrp	斧战士-黄金斧传说(欧版,美版,工程版v2.0)
gg_axbattlr	斧战士-黄金斧传说(欧版,美版,v2.4)
gg_axbattlrj	斧战士-黄金斧传说(日版,v1.5)
sms_smgp2	艾尔顿·塞纳超级摩纳哥大奖赛II(欧版,巴西版,韩版)
md_smgp2	艾尔顿·塞纳的超级摩纳哥大奖赛II(欧版,日版)
gg_smgp2	艾尔顿·塞纳超级摩纳哥大奖赛II(欧版,美版)
gg_smgp2p	艾尔顿·塞纳超级摩纳哥大奖赛II(欧版,美版,工程版)
gg_smgp2j	艾尔顿·塞纳超级摩纳哥大奖赛II(日版)
md_smgp2u	艾尔顿·塞纳的超级摩纳哥大奖赛II(美版)
aztarac	太空舰队
sms_aztecadv	阿兹特克的冒险-通往天堂的黄金之路(欧版,美版)~纳斯卡'88-通往天堂的黄金之路(日版)
azurian	防卫射击
bonkadv	究极PC原人
bcstry	原始人梦语(第1套)
bcstrya	原始人梦语(第2套)
md_bob	机械蚂蚁战士(欧版,美版)
md_bobp	机械蚂蚁战士(美版,工程版)
brapboys	嘻哈男孩(世界版)
brapboysj	嘻哈男孩特别版(日版)
brapboysu	嘻哈男孩特别版(美版)
md_babyboom1	婴儿潮(工程版,19940603)
md_babyboom2	婴儿潮(工程版,19940606)
md_babyboom	婴儿潮(工程版,19940811)
md_babyd	小鬼当街(美版,工程版)
md_babydo	小鬼当街(美版,工程版,早期版)
backfirt	烽火佳人(Tecmo,盗版)
bssoccer	街头足球
sms_backtof2	回到未来II(欧版,巴西版)
md_backtof3	回到未来III(欧版)
sms_backtof3	回到未来III(欧版)
md_backtof3u	回到未来III(美版)
backfire	越野房车大赛(第1套)
baddudes	龙行忍者(美版)
md_badomen	弹球(日版,韩版)
bagmanm2	收赃人(月球登陆艇硬件上的盗版第2套)
md_bahamuts	巴哈姆特战记(日版)
bakatono	傻瓜殿下麻将漫游记(MOM-002)(MOH-002)
sms_bakubaku	动物方块(巴西版)
gg_bakubaku	动物方块(欧版)
gg_bakubakuu	动物方块(美版)
gg_bakubakuj	动物方块-世界饲养员锦标赛选手权(日版)
bakubrkr	爆裂者
ballboy	球童
md_balljack	杰克钢球(欧版,日版)
pce_ballistx	妖魔球
tg_ballistx	妖魔球
ballbros	气球兄弟
md_ballz3d	球人大乱斗(欧版,美版)
b2b	砰砰克星(2010NCI发布)
bangbead	碰碰球
bangbedp	碰碰球(工程版?)
bankp	银行惊魂记
sms_bankp	银行惊魂记(欧版)
sms_bankpc	银行惊魂记(欧版,世嘉卡)
sg1k_bankp	银行惊魂记(日版)
