// game list translation template for FB Alpha version 0x029737

// codepage=936


8ballact	抢8撞球(大金刚转换版)
mrkougar2	鬼灵精先生(早期版)
mrlo	楼先生!
md_mrnutz	松鼠鲁兹(欧版)
md_mrnutz2	松鼠鲁兹-疯狂跳跃(工程版)
mrtnt	炸药先生
mspacman	吃豆女精灵
mspacmab	吃豆女精灵(盗版)
mspacmat	吃豆女精灵攻击
mspacmanbg	吃豆女精灵('希腊制造'盗版)
mspacmbe	吃豆女精灵(盗版,加密版)
sms_mspacman	吃豆女精灵(欧版,巴西版)
md_mspacman	吃豆女精灵(欧版,美版)
md_mspacmanpir	吃豆女精灵(海盗版,取自黄金10合1)
gg_mspacman	吃豆女精灵(美版)
mspacmnf	吃豆女精灵(速度修改版)
msheartb	吃豆女精灵燃烧心脏
mspacpls	吃豆女精灵加强版
mschamps	吃豆女精灵冠军超级女孩版
mschamp	吃豆女精灵冠军女孩版
rocktrv2	音乐摇滚(第二部)
mugsmash	火线追缉
md_valisj	梦幻战士(日版)
md_muhammad	穆罕默德·阿里重量级拳赛(欧版)
md_muhammadu	穆罕默德·阿里重量级拳赛(美版)
md_muhammadup	穆罕默德·阿里重量级拳赛(美版,工程版)
semibase	无限胜负(SemiCom棒球)(韩版)
nmg5	益智五合一(第1套)
nmg5a	益智五合一(第2套)
nmg5e	益智五合一(第3套,早期版)
multchmpk	冠军合集(韩版)
multchmp	冠军合集(世界版)
mchampdx	冠军合集豪华版(版本0106,06/01/2000)
mchampdxa	冠军合集豪华版(版本1126,26/11/1999)
mbomberj	肌肉爆弹(930713日版)
mbombrdj	肌肉爆弹二重奏-热力战士(931206日版)
mbombrd	肌肉爆弹二重奏-最终之战(931206世界版)
md_musha	武者-金属框架超级混合铠甲(美版)
md_mushaj	武者阿雷斯特-全金属战斗机俄雷诺(日版)
sg1k_musicj	音乐编辑器(日版)
cv_musicbox	音乐盒(演示版)
mustache	胡须男
alibabab	穆斯塔法与四十大盗(盗版)
mutantf2	异种角斗士(世界版EM-2)
mutantf3	异种角斗士(世界版版本EM-3)
mutantf4	异种角斗士(世界版版本EM-4)
mutantf	异种角斗士(世界版版本EM-5)
md_mlfootb	变异体联盟美式足球赛(欧版,美版)
md_mlfootbj	变异体联盟美式足球赛(日版)
md_mlhockey	变异体联盟曲棍球赛(欧版,美版)
mnight	突变之夜
mutnat	外星游龙-变异种族(NGM-014)(NGH-014)
mvpjd	棒球最佳球员赛(第1套,日版,FD1094317-0142解密版)
mvpj	棒球最佳球员赛(第1套,日版,FD1094317-0142)
mvpd	棒球最佳球员赛(第2套,美版,FD1094317-0143解密版)
mvp	棒球最佳球员赛(第2套,美版,FD1094317-0143)
sms_myhero	我的英雄(欧版,美版,巴西版)
sms_myheroc	我的英雄(欧版,美版,巴西版,世嘉卡)
myherok	我的英雄(韩版)
myhero	我的英雄(美版,未加密版)
mystston	秘石-约翰博士的冒险
myststono	秘石-奇克博士的冒险
myststonoi	秘石-奇克博士的冒险(意大利机板)
md_mystdefa	神秘守护者(欧版,美版)
md_mystdef	神秘守护者(欧版,美版,修正版A)
mysticrib	魔法警备队(盗版?)
mysticri	魔法警备队(世界版)
mystwarra	神秘勇士-怒之忍者(版本AAA)
mystwarr	神秘勇士-怒之忍者(版本EAA)
mystwarrj	神秘勇士-怒之忍者(版本JAA)
mystwarru	神秘勇士-怒之忍者(版本UAA)
md_mysticf	神秘战士(美版)
sg1k_nsub	核潜艇(欧版?)
sg1k_nsuba	核潜艇(日版)
sg1k_nsubb	核潜艇(日版,替换版)
sg1k_nsubt	核潜艇(台湾版)
md_nakaf1gp	一级方程式中岛悟监修大奖赛(日版)
md_f1heromd	一级方程式中岛悟监修英雄赛MD(日版)
md_nakaf1sl	一级方程式中岛悟监修超级牌照赛(日版)
nam1975	越战1975(NGM-001)(NGH-001)
naname	娜娜米魔法方块!
nndmseal	万能印章委员会
nndmseala	万能印章委员会(铁臂阿童木版)
md_smasters	尾崎直道超级高尔夫大师赛(日版)
pce_blodwolf	流氓战斗部队-血狼
md_narnia3	纳尼亚传奇3(俄罗斯版)
md_naruto	火影忍者(俄罗斯版)
nastar	拉斯坦(世界版)
nastarw	拉斯坦战士(美版)
nmouse	顽皮鼠(第1套)
nmouseb	顽皮鼠(第2套)
navarone	纳瓦隆战舰
pce_naxopen	Naxat高尔夫公开赛
pce_naxstad	Naxat棒球赛
pce_nazomasq	神秘的化妆舞会
gg_nazopuyo1	迷之噗哟(日版,v0)
gg_nazopuyo	迷之噗哟(日版,v1)
gg_nazpuyo2	迷之噗哟2(日版)
gg_nazpyoar	迷之噗哟阿尔勒的乳酪面糊(日版)
gg_nazpyoarp	迷之噗哟阿尔勒的乳酪面糊(日版,工程版)
md_nba2k	美国篮球职业联赛2000(俄罗斯版)
md_nba2k5	美国篮球职业联赛2005(俄罗斯版)
md_nbaact95	运动美国篮球职业联赛'95(欧版,美版)
md_nbaact95p25	运动美国篮球职业联赛'95(工程版,19941118)
md_nbaact95p24	运动美国篮球职业联赛'95(工程版,19941123-A)
md_nbaact95p23	运动美国篮球职业联赛'95(工程版,19941202-B)
md_nbaact95p22	运动美国篮球职业联赛'95(工程版,19941209)
md_nbaact95p21	运动美国篮球职业联赛'95(工程版,19941215)
md_nbaact95p20	运动美国篮球职业联赛'95(工程版,19941222-A)
md_nbaact95p19	运动美国篮球职业联赛'95(工程版,19941224-A)
md_nbaact95p18	运动美国篮球职业联赛'95(工程版,19941229)
md_nbaact95p17	运动美国篮球职业联赛'95(工程版,19941230)
md_nbaact95p16	运动美国篮球职业联赛'95(工程版,19941231)
md_nbaact95p15	运动美国篮球职业联赛'95(工程版,19950103)
md_nbaact95p14	运动美国篮球职业联赛'95(工程版,19950108)
md_nbaact95p13	运动美国篮球职业联赛'95(工程版,19950112)
md_nbaact95p12	运动美国篮球职业联赛'95(工程版,19950115-A)
md_nbaact95p11	运动美国篮球职业联赛'95(工程版,19950121)
md_nbaact95p10	运动美国篮球职业联赛'95(工程版,19950122-B)
md_nbaact95p09	运动美国篮球职业联赛'95(工程版,19950124-B)
md_nbaact95p08	运动美国篮球职业联赛'95(工程版,19950127-A)
md_nbaact95p07	运动美国篮球职业联赛'95(工程版,19950127-B)
md_nbaact95p05	运动美国篮球职业联赛'95(工程版,19950128)
md_nbaact95p06	运动美国篮球职业联赛'95(工程版,19950128-A)
md_nbaact95p04	运动美国篮球职业联赛'95(工程版,19950130)
md_nbaact95p02	运动美国篮球职业联赛'95(工程版,19950201)
md_nbaact95p03	运动美国篮球职业联赛'95(工程版,19950201,替换版)
md_nbaact95p01	运动美国篮球职业联赛'95(工程版,19950202)
md_nbaactp3	运动美国篮球职业联赛(工程版,19940104)
md_nbaactp2	运动美国篮球职业联赛(工程版,19940116)
md_nbaactp1	运动美国篮球职业联赛(工程版,19940127,broken-C08missing)
md_nbaact	运动美国篮球职业联赛(美版)
gg_nbaactp08	大卫·罗宾之运动美国篮球职业联赛(最终版A,19940228)
gg_nbaactp07	大卫·罗宾之运动美国篮球职业联赛(最终版B,19940301)
gg_nbaactp06	大卫·罗宾之运动美国篮球职业联赛(最终版C,19940302)
gg_nbaactp05	大卫·罗宾之运动美国篮球职业联赛(最终版D,19940303)
gg_nbaactp04	大卫·罗宾之运动美国篮球职业联赛(最终版E,19940304)
gg_nbaactp03	大卫·罗宾之运动美国篮球职业联赛(最终版F,19940304)
gg_nbaactp02	大卫·罗宾之运动美国篮球职业联赛(最终版G,19940305)
gg_nbaactp01	大卫·罗宾之运动美国篮球职业联赛(最终版H,19940308)
gg_nbaactp30	大卫·罗宾之运动美国篮球职业联赛(工程版,19931128)
gg_nbaactp29	大卫·罗宾之运动美国篮球职业联赛(工程版,19931201)
gg_nbaactp28	大卫·罗宾之运动美国篮球职业联赛(工程版,19940104)
gg_nbaactp27	大卫·罗宾之运动美国篮球职业联赛(工程版,19940106)
gg_nbaactp26	大卫·罗宾之运动美国篮球职业联赛(工程版,19940110)
gg_nbaactp25	大卫·罗宾之运动美国篮球职业联赛(工程版,19940124)
gg_nbaactp24	大卫·罗宾之运动美国篮球职业联赛(工程版,19940129)
gg_nbaactp23	大卫·罗宾之运动美国篮球职业联赛(工程版,19940202)
gg_nbaactp22	大卫·罗宾之运动美国篮球职业联赛(工程版,19940203)
gg_nbaactp21	大卫·罗宾之运动美国篮球职业联赛(工程版,19940206)
gg_nbaactp20	大卫·罗宾之运动美国篮球职业联赛(工程版,19940208)
gg_nbaactp19	大卫·罗宾之运动美国篮球职业联赛(工程版,19940212)
gg_nbaactp17	大卫·罗宾之运动美国篮球职业联赛(工程版,19940217)
gg_nbaactp16	大卫·罗宾之运动美国篮球职业联赛(工程版,19940220)
gg_nbaactp15	大卫·罗宾之运动美国篮球职业联赛(工程版,19940221)
gg_nbaactp14	大卫·罗宾之运动美国篮球职业联赛(工程版,19940224)
gg_nbaactp12	大卫·罗宾之运动美国篮球职业联赛(工程版,19940225)
gg_nbaactp13	大卫·罗宾之运动美国篮球职业联赛(工程版,19940225-B)
gg_nbaactp11	大卫·罗宾之运动美国篮球职业联赛(工程版,19940226)
gg_nbaactp10	大卫·罗宾之运动美国篮球职业联赛(工程版,19940227)
gg_nbaactp09	大卫·罗宾之运动美国篮球职业联赛(工程版,19940228)
gg_nbaactp18	大卫·罗宾之运动美国篮球职业联赛(工程版,19941215)
gg_nbaact	大卫·罗宾之运动美国篮球职业联赛(美版)
md_nbaallst	美国篮球职业联赛全美明星挑战赛(欧版,美版)
md_nbahang	美国篮球职业联赛滞空时间(欧版)
md_nbahangu	美国篮球职业联赛滞空时间(美版)
sms_nbajam	小型美国篮球职业联赛(欧版,工程版)
gg_nbajam1	小型美国篮球职业联赛(欧版,美版)
md_nbajam1	小型美国篮球职业联赛(欧版,美版)
md_nbajam	小型美国篮球职业联赛(欧版,美版,v1.1)
gg_nbajamj	小型美国篮球职业联赛(日版)
md_nbajamj	小型美国篮球职业联赛(日版)
md_nbajamjp	小型美国篮球职业联赛(日版,工程版)
gg_nbajam	小型美国篮球职业联赛(美版,v1.1)
gg_nbajamte	小型美国篮球职业联赛竞赛版(世界版)
md_nbajamte	小型美国篮球职业联赛竞赛版(世界版)
md_nbajamtef	小型美国篮球职业联赛竞赛版(世界版,2002修复版)
md_nbaliv95	美国篮球职业联赛实况转播95(欧版,美版)
md_nbaliv95k	美国篮球职业联赛实况转播95(韩版)
md_nbaliv96	美国篮球职业联赛实况转播96(欧版,美版)
md_nbaliv97	美国篮球职业联赛实况转播97(欧版,美版)
md_nbaliv98	美国篮球职业联赛实况转播98(美版)
md_bullvsblj	美国职业篮球联赛季后赛-公牛对开拓者(日版)
md_bullvsblj1	美国职业篮球联赛季后赛-公牛对开拓者(日版,替换版)
md_nbapro94	美国篮球职业联赛'94(日版)
md_bullvslaj	美国职业篮球联赛-公牛对湖人(日版)
md_nbashow	美国篮球职业联赛大对决'94(欧版,美版)
md_nbashowp	美国篮球职业联赛大对决'94(美版,工程版,修改版)
md_ncaabask	全美大学篮球四强赛(美版)
md_ncaafoot	全美大学美式足球赛(美版)
pce_necromcr	邪圣剑
pce_necros	尼克罗斯要塞
pce_nectaris	月面基地
md_nfsu	极品飞车(俄罗斯版)
kuniokunb	热血硬派(日版盗版)
kuniokun	热血硬派(日版)
pce_nekdodge	热血高校躲避球部-PC番外篇
md_neksoccr	热血高校躲避球部-足球篇MD(日版)
pce_neksoccr	热血高校躲避球部-PC足球篇
sms_nekkyu	热球甲子园(日版)
sms_nemesis	宇宙巡航舰(韩版)
nemesis	宇宙巡航舰(ROM版)
nemesisuk	宇宙巡航舰(世界版?,ROM版)
sms_nemesis2	宇宙巡航舰2(韩版)
nemor1	梦幻冒险(901109世界版)
nemoj	梦幻冒险(901120日版)
nemo	梦幻冒险(901130世界版)
neo2500	Neo2500演示
neobombe	Neo炸弹人
neocstlv	Neo新恶魔城演示
neodrift	Neo越野漂移-新的技术
neogeo	NeoGeoMVS系统
neocdz	NeoGeoCDZ系统
neogeo	NeoGeoMVS系统
neomrdo	Neo嘟先生!
neonopon	Neo智力方块(测试版)
neoponga	机皇弹球(版本1.0)
neopong	机皇弹球(版本1.1)
syscheck	Neo系统测试(版本1.0b)
neothndr	新雷电
turfmast	新草坪大师赛/高尔夫锦标赛
neocup98	Neo-Geo杯'98-胜利之路
neotet	NeoGeo2人俄罗斯方块
neo3ddmo	NeoGeo3D!演示
tg_neutopia	纽托比亚大陆
pce_neutopia	纽托比亚大陆
tg_neutopi2	纽托比亚大陆II
pce_neutopi2	纽托比亚大陆II
md_n3dgdevi	新3D高尔夫模拟-戴威尔场地(日版)
md_n3dgaugu	新3D高尔夫模拟-奥古斯塔场地(日版)
md_n3dgpebb	新3D高尔夫模拟-圆石海岸场地(日版)
md_n3dgwaia	新3D高尔夫模拟-维艾勒伊场地(日版)
tg_advislnd	新冒险岛
newapunk	炸弹人世界-全球任务(美版)
sms_newbogl2	新泡泡龙2(韩版)
newfanta	天蚕变-新幻想曲(1994版权)
newfant	天蚕变-新幻想曲(1995版权)
md_newhoriz	新大陆(美版)
newpuckx	新吃豆人
nrallyx	新迷魂车X
newsin7	新辛巴达7
md_newmanh	奈杰尔·曼塞尔印地车赛(世界版)
newpuc2	新吃豆人2
newpuc2b	新吃豆人2b
news	魔法美女气泡(第1套)
newsa	魔法美女气泡(第2套)
md_nfl95	美式足球联盟赛'95(欧版,美版)
md_nfl95p21	美式足球联盟赛'95(工程版,19940801)
md_nfl95p20	美式足球联盟赛'95(工程版,19940805)
gg_nfl95p13	美式足球联盟赛'95(工程版,19940808)
md_nfl95p19	美式足球联盟赛'95(工程版,19940810)
md_nfl95p18	美式足球联盟赛'95(工程版,19940812)
md_nfl95p17	美式足球联盟赛'95(工程版,19940812,替换版)
md_nfl95p15	美式足球联盟赛'95(工程版,19940817)
md_nfl95p16	美式足球联盟赛'95(工程版,19940817-B)
md_nfl95p14	美式足球联盟赛'95(工程版,19940822)
gg_nfl95p11	美式足球联盟赛'95(工程版,19940825)
gg_nfl95p12	美式足球联盟赛'95(工程版,19940825-A)
gg_nfl95p10	美式足球联盟赛'95(工程版,19940826)
md_nfl95p13	美式足球联盟赛'95(工程版,19940830)
md_nfl95p12	美式足球联盟赛'95(工程版,19940831)
gg_nfl95p09	美式足球联盟赛'95(工程版,19940831)
md_nfl95p11	美式足球联盟赛'95(工程版,19940901)
md_nfl95p10	美式足球联盟赛'95(工程版,19940902)
gg_nfl95p08	美式足球联盟赛'95(工程版,19940902)
md_nfl95p09	美式足球联盟赛'95(工程版,19940904)
md_nfl95p07	美式足球联盟赛'95(工程版,19940905)
md_nfl95p08	美式足球联盟赛'95(工程版,19940905-B)
md_nfl95p06	美式足球联盟赛'95(工程版,19940906)
md_nfl95p05	美式足球联盟赛'95(工程版,19940907)
md_nfl95p04	美式足球联盟赛'95(工程版,19940908)
gg_nfl95p07	美式足球联盟赛'95(工程版,19940908)
md_nfl95p03	美式足球联盟赛'95(工程版,19940909)
gg_nfl95p06	美式足球联盟赛'95(工程版,19940910)
md_nfl95p01	美式足球联盟赛'95(工程版,19940911)
md_nfl95p02	美式足球联盟赛'95(工程版,19940911-B)
gg_nfl95p05	美式足球联盟赛'95(工程版,19940911-B)
gg_nfl95p04	美式足球联盟赛'95(工程版,19940911-C)
gg_nfl95p03	美式足球联盟赛'95(工程版,19940912)
gg_nfl95p01	美式足球联盟赛'95(工程版,19940914)
gg_nfl95p02	美式足球联盟赛'95(工程版,19940914-F)
gg_nfl95	美式足球联盟赛'95(美版)
md_nfl98	美式足球联盟赛98(美版)
md_nfl94j	乔·蒙大拿之美式足球联盟赛'94(日版)
md_nfl94	乔·蒙大拿之美式足球联盟赛'94(美版)
gg_nflqb96	美式足球联盟赛四分卫俱乐部'96(欧版,美版)
md_nflqb	美式足球联盟四分卫俱乐部(世界版)
gg_nflqb	美式足球联盟赛四分卫俱乐部(世界版)
md_nflqb96	美式足球联盟四分卫俱乐部96(欧版,美版)
md_nflsport	乔·蒙大拿之体育评论美式足球联盟赛'93(欧版,美版)
ngem2k	智力符号2000(测试版2006-01-18)
ngftdemo	NGF透明演示
pce_nhktaidr	NHK大河剧-太平记
md_nhktaidr	NHK大河剧-太平记(日版)
md_nhl94	曲棍球联盟赛'94(欧版,美版)
md_nhl95	曲棍球联盟赛95(欧版,美版)
md_nhl96	曲棍球联盟赛96(欧版,美版)
md_nhl97	曲棍球联盟赛97(欧版,美版)
md_nhl98	曲棍球联盟赛98(美版)
md_nhlasp16	全明星曲棍球联盟赛'95(工程版,19940914)
md_nhlasp15	全明星曲棍球联盟赛'95(工程版,19940929)
md_nhlasp14	全明星曲棍球联盟赛'95(工程版,19941001)
md_nhlasp13	全明星曲棍球联盟赛'95(工程版,19941021)
md_nhlasp12	全明星曲棍球联盟赛'95(工程版,19941107)
md_nhlasp11	全明星曲棍球联盟赛'95(工程版,19941109)
md_nhlasp10	全明星曲棍球联盟赛'95(工程版,19941119)
md_nhlasp09	全明星曲棍球联盟赛'95(工程版,19941121)
md_nhlasp08	全明星曲棍球联盟赛'95(工程版,19941122)
md_nhlasp07	全明星曲棍球联盟赛'95(工程版,19941123)
md_nhlasp06	全明星曲棍球联盟赛'95(工程版,19941127)
md_nhlasp05	全明星曲棍球联盟赛'95(工程版,19941128)
md_nhlasp04	全明星曲棍球联盟赛'95(工程版,19941129)
md_nhlasp02	全明星曲棍球联盟赛'95(工程版,19941201)
md_nhlasp03	全明星曲棍球联盟赛'95(工程版,19941201-B)
md_nhlasp01	全明星曲棍球联盟赛'95(工程版,19941202)
md_nhlas	全明星曲棍球联盟赛'95(美版)
gg_nhlasp17	全明星曲棍球联盟赛(工程版,19941215)
gg_nhlasp16	全明星曲棍球联盟赛(工程版,19941222)
gg_nhlasp15	全明星曲棍球联盟赛(工程版,19941229)
gg_nhlasp14	全明星曲棍球联盟赛(工程版,19941231)
gg_nhlasp13	全明星曲棍球联盟赛(工程版,19950102)
gg_nhlasp12	全明星曲棍球联盟赛(工程版,19950103)
gg_nhlasp11	全明星曲棍球联盟赛(工程版,19950107)
gg_nhlasp10	全明星曲棍球联盟赛(工程版,19950111)
gg_nhlasp09	全明星曲棍球联盟赛(工程版,19950113)
gg_nhlasp08	全明星曲棍球联盟赛(工程版,19950116)
gg_nhlasp07	全明星曲棍球联盟赛(工程版,19950120)
gg_nhlasp06	全明星曲棍球联盟赛(工程版,19950121)
gg_nhlasp02	全明星曲棍球联盟赛(工程版,19950124)
gg_nhlasp05	全明星曲棍球联盟赛(工程版,19950124-A)
gg_nhlasp04	全明星曲棍球联盟赛(工程版,19950124-B)
gg_nhlasp03	全明星曲棍球联盟赛(工程版,19950124-C)
gg_nhlasp01	全明星曲棍球联盟赛(工程版,19950125)
gg_nhlas	全明星曲棍球联盟赛(美版)
gg_nhl	曲棍球联盟赛(欧版,美版)
md_nhl	曲棍球联盟赛(美版)
md_nhlpa2k3	曲棍球联盟球员赛2003(俄罗斯版)
md_nhlpa93a	曲棍球联盟球员赛93(欧版,美版)
md_nhlpa93	曲棍球联盟球员赛93(欧版,美版,v1.1)
md_mansell	奈杰尔·曼塞尔的世界锦标车赛(欧版)
md_mansellu	奈杰尔·曼塞尔的世界锦标车赛(美版)
tg_nightcr	暗夜生物
nightstrj	午夜出击(日版)
nightstru	午夜出击(美版)
nightstr	午夜出击(世界版)
nwarra	恶魔战士-恶魔的复仇(950302亚洲版)
nwarr	恶魔战士-恶魔的复仇(950316欧版)
nwarrb	恶魔战士-恶魔的复仇(950403巴西版)
nwarrh	恶魔战士-恶魔的复仇(950403西班牙版)
nwarrud	恶魔战士-恶魔的复仇(950406美版凤凰版)
nwarru	恶魔战士-恶魔的复仇(950406美版)
md_ncirc	马戏团梦魇(巴西版)
md_ncirc1	马戏团梦魇(巴西版,替换版)
md_ncircp	马戏团梦魇(工程版)
nitd	午夜噩梦
nitdbl	午夜噩梦(盗版)
sg1k_nihonshi	日本历史年表(日版)
md_nikkan	日刊体育职业棒球迷(日版)
ninja	忍者(315-5102)
nbbatmanu	忍者棒球(美版)
nbbatman	忍者棒球(世界版)
md_ninjab	忍者武雷传说(日版)
ncombath	忍者大战(NGH-009)
ncombat	忍者大战(NGM-009)
ncommand	忍者指令
sms_ngaiden	忍者外传(欧版,巴西版)
sms_ngaidenp	忍者外传(欧版,工程版)
gg_ngaiden	忍者外传(欧版,美版)
gg_ngaidenj	忍者外传(日版)
md_ngaiden	忍者外传(日版,工程版)
gaiden	忍者龙剑传(美版)
kazan	忍者火山(世界版)
ninjamas	霸王忍法帖
nprinces	忍者公主(315-5051,64k版盗版?)
nprincesb	忍者公主(315-5051?,128k版盗版?)
nprinceso	忍者公主(315-5098,128k版)
nprincesu	忍者公主(64k版未加密版)
sg1k_ninjapri	忍者公主(日版)
pce_nryukend	忍者龙剑传
ryukendn	忍者龙剑传(日版,第1套)
ryukendna	忍者龙剑传(日版,第2套)
nspirit	最后的忍道
tg_nspirit	最后的忍道-忍者之魂
ninjakd2	忍者小子II-阿修罗之章(第1套)
ninjakd2a	忍者小子II-阿修罗之章(第2套,盗版?)
ninjakd2b	忍者小子II-阿修罗之章(第3套,盗版?)
ninjakun	忍者小子-魔城的冒险
gg_ninku	忍空(日版)
gg_ninku2	忍空2-天空龙之道(日版)
gg_ninkug	忍空外传-博之大活剧(日版)
nitrobal	地狱英雄弹珠门(世界版,第1套)
nitrobala	地狱英雄弹珠门(世界版,第2套)
nmk004	NMK004InternalROM
md_noescape	无处可逃(美版)
nob	怪叔叔救美(日版)
nobb	怪叔叔救美(日版,盗版)
md_nobubufu	信长之野望-武将风云录(日版)
md_nobuhao	信长之野望-霸王传(日版)
md_nobuzenk	信长之野望-全国版(日版)
md_nobuamb	信长之野望(美版)
gg_nomowsb	野茂的世界系列棒球(日版)
md_normy	罗米的沙滩小子(欧版,美版)
nost	占星者
nostj	占星者(日版)
nostk	占星者(韩版)
nouryoku	脑力向上委员会
nova2001	新星2001(日版)
nova2001u	新星2001(美版)
cv_novablst	新星轰炸
cv_numbump	数字保险杠
nunchaku	功夫少女
nyanpani	小猫卡布(日版)
pce_oboccha	天才少爷
oedfight	大江户格斗(日版血腥版)
md_ohmummy	木乃伊
ohmygod	天神方块(日版)
cv_oilswell	油井
cv_oilswella	油井(替换版)
oisipuzl	益智博士
sg1k_matchpg	冈本绫子的高尔夫比赛(日版,OMV)
sg1k_matchpga	冈本绫子的高尔夫比赛(日版,OMV,替换版)
sg1k_matchpgt	冈本绫子的高尔夫比赛(台湾版)
sms_olympgld	奥运金牌(欧版)
md_olympgld	奥运金牌(欧版)
gg_olympgld	奥运金牌(欧版,v1,SMS模式)
md_olympgldj	奥运金牌(日版,韩版)
gg_olympglda	奥运金牌(日版,美版,v0,SMS模式)
sms_olympgldk	奥运金牌(韩版)
md_olympgldu	奥运金牌(美版)
md_olympgldu1	奥运金牌(美版,替换版)
md_olympsum	夏季奥运会(欧版,美版)
omega	甲虫护蛋
omegaf	欧米加战机
omegafs	欧米加战机特别版
cv_omegrace	欧米加竞赛
omni	奥尼
md_ondal	温达将军(韩版)
cv_1on1	一对一
nmaster	隐忍(日版)
onna34ro	女三四郎(第1套)
onna34roa	女三四郎(第2套)
md_onslau	强袭战士(欧版,美版)
sms_opaopa	奥帕奥帕(日版)
opwolfb	乌兹冲锋枪-野熊行动(盗版)
md_opeurope	欧陆战线-通向胜利之路1939-45(美版)
othunderj	乌兹冲锋枪2-闪电行动(日版)
othunderu	乌兹冲锋枪2-闪电行动(美版)
othunderuo	乌兹冲锋枪2-闪电行动(美版,较旧版)
othunder	乌兹冲锋枪2-闪电行动(世界版)
pce_opwolf	乌兹冲锋枪-野狼行动
sms_opwolf	乌兹冲锋枪-野狼行动(欧版,巴西版)
opwolfj	乌兹冲锋枪-野狼行动(日版)
opwolfu	乌兹冲锋枪-野狼行动(美版)
opwolf	乌兹冲锋枪-野狼行动(世界版,第1套)
opwolfa	乌兹冲锋枪-野狼行动(世界版,第2套)
opwolf3u	乌兹冲锋枪3-野狼行动(美版)
opwolf3	乌兹冲锋枪3-野狼行动(世界版)
cv_orbit	轨道(工程版)
orbitron	飞碟巡航
orbs	转动球盘(10/7/94工程版?)
tg_griffon	龙与地下城-格里芬的命令
tg_ordyne	欧戴纳战机
pce_ordyne	欧戴纳战机
sg1k_orguss	超时空世纪(欧版,日版)
orlegend105k	西游释厄传(V105,韩版)
orlegend111c	西游释厄传(V111,中国版)
orlegend111k	西游释厄传(V111,韩版)
orlegend111t	西游释厄传(V111,台湾版)
orlegendca	西游释厄传(V112替换版,中国版)
orlegende	西游释厄传(V112)
orlegendc	西游释厄传(V112,中国版)
orlegend	西游释厄传(V126)
olds100a	西游释厄传超级版(V100替换版)
olds100	西游释厄传超级版(V100)
olds103t	西游释厄传超级版(V103,中国版,腾讯版)(未保护版)
oldsplus	西游释厄传-群魔乱舞(版本205)
olds	西游释厄传超级版(V101,韩版)
osman	麒麟-奥斯曼(世界版)
md_osomatsu	小松君-胡言乱语剧场(日版)
sg1k_othello	黑白棋(日版)
pce_outlive	逃出生天
md_ootwp	奇异世界(工程版)
md_ootw	奇异世界(美版)
pce_outrun	户外大飙车
outrunb	户外大飙车(盗版)
outrundxa	户外大飙车(豪华版平坐型早期版)
outrundx	户外大飙车(豪华版平坐型)
gg_outrun	户外大飙车(欧版)
outrundxj	户外大飙车(日版,豪华版平坐型,FD1089A317-0019)
gg_outrunj	户外大飙车(日版)
outrunra	户外大飙车(平坐型/直立型,修正版A)
outrun	户外大飙车(平坐型/直立型,修正版B)
sms_outrun	户外大飙车(世界版)
sms_outrun3d	户外大飙车3-D(欧版,巴西版)
sms_outrneur	户外大飙车欧洲版(欧版,巴西版)
gg_outrneur	户外大飙车欧洲版(欧版,巴西版,SMS模式)
gg_outrneuru	户外大飙车欧洲版(美版,SMS模式)
outzone	异域战将
outzoneh	异域战将(较难)
outzoneb	异域战将(较旧版)
outzonec	异域战将(最旧版)
outzonea	异域战将(第2套)
md_outlandr	欧蓝德杀手(欧版)
md_outlandru	欧蓝德杀手(美版)
md_outrun	户外大飙车(欧版,美版)
md_outrunj	户外大飙车(日版)
md_outr2019	户外大飙车2019(欧版)
md_outr2019j	户外大飙车2019(日版)
md_outr2019u	户外大飙车2019(美版)
md_outr2019up	户外大飙车2019(美版,工程版)
md_orunnersj	户外赛车(日版)
md_orunners	户外赛车(美版)
overtop	跨越巅峰
pce_override	超空战机
ozon1	自走炮I
pce_p47	P-47-自由战机
p47j	P-47-自由战机(日版)
p47je	P-47-自由战机(日版,出口版)
p47	P-47-幽灵战机(世界版)
pgemeni	宝石方块(PGM060123)
pow	脱狱-战俘(美版版本1)
md_pto	决战太平洋(美版)
gg_pacattak	吃豆小精灵方块(欧版,美版)
md_pacattak	吃豆小精灵方块(美版)
pacgal	吃豆女孩
gg_pacintim	吃豆小精灵大冒险(工程版)
tg_pacland	小精灵世界
pce_pacland	小精灵世界
paclandj	小精灵世界(日版新版)
paclandjo	小精灵世界(日版旧版)
paclandjo2	小精灵世界(日版较旧版)
paclandm	小精灵世界(Midway)
pacland	小精灵世界(世界版)
pacmanbl	吃豆小精灵(小蜜蜂硬件,第1套)
pacmanbla	吃豆小精灵(小蜜蜂硬件,第2套)
pacheart	吃豆小精灵(红心版)
gg_pacmanj	吃豆小精灵(日版)
pacman	吃豆小精灵(Midway)
pacmod	吃豆小精灵(Midway,较难)
pacmanf	吃豆小精灵(Midway,速度修改版)
cv_pacman	吃豆小精灵(工程版)
gg_pacman	吃豆小精灵(美版)
md_pacman2	吃豆小精灵2-新的冒险(美版)
pacplus	吃豆小精灵加强版
sms_pacmania	立体版吃豆小精灵(欧版)
md_pacmania	立体版吃豆小精灵(欧版,美版)
md_pacpanic	吃豆小精灵方块(欧版)
